mechanism,maximum_public_support,required_underlying_cost_or_obligation,isolated_standalone_cash_floor,status
Wage co-financing social workplace,50% of salary plus specified payroll charges,Employment cost and eligible hire,"<= -50% of covered cost before employee value",incremental subsidy only
2026 vulnerable-group job pilot,"100% first 3 months; 50% next 3 months",Eligible Employment Support Project business and hired employee,"0 direct covered payroll burden first 3 months; no excess cash",incremental subsidy only
Liberated-territory employer social insurance,80% in 2026-2028,Mandatory social-insurance contribution,"-20% of contribution before other costs",incremental subsidy only
Liberated-territory self-employed social insurance,100% for covered cases,Mandatory own social-insurance contribution,"0 before overhead/time",cost neutral only
Liberated-territory specialist allowance,600 AZN one-time,Qualifying >=1-year job plus settlement and experience conditions,Unbounded net because relocation/employment obligations exceed no hard cap,fixed cash but no terminal guarantee
KOBIA internal market research micro,80% up to 20000 AZN,Eligible research expense,"-20% of qualifying cost",incremental subsidy only
KOBIA internal market research small,50% up to 20000 AZN,Eligible research expense,"-50% of qualifying cost",incremental subsidy only
Export support,50% of incurred expense up to 10000 AZN,Eligible export-support expense,"-50% of qualifying cost",incremental subsidy only
Startup certificate,3-year profit/income tax exemption,Qualifying innovative business income,Depends on positive taxable income and expert approval,not standalone
Investment incentive,7-year tax/customs package and 50% profit/income-tax discount,Qualifying investment project and investment,Depends on real investment/taxable activity,not standalone
KOBIA grant,up to 20000 AZN,Competitive project and project-use obligations,No pre-commitment entitlement,competitive not guaranteed
